web-scraper-order,web-scraper-start-url,figure_link,figure_link-href,name,description,image-src,retail_price,buy_price,auction_price
"1700780222-1328","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Jedi Survivor Multipack","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/jedi-survivor-multipack-4273.php","Star Wars The Vintage Collection Jedi Survivor Multipack","Star Wars The Vintage Collection Jedi Survivor Multipack 
Featuring premium detail and design across multiple points of articulation, as well as original Kenner branding, the STAR WARS: THE VINTAGE COLLECTION 3.75-INCH GAMING GREATS STAR WARS: JEDI SURVIVOR MULTIPACK is inspired by the STAR WARS: SURVIVOR video game. Riot Scout Troopers are deployed wherever the Empire needs to put down insurrections. Imperial Security Droids, also known as KX-series Security Droids, are commonly used in service to the Galactic Empire. The elite IG-100 MagnaGuard served as bodyguards to the highest-ranking Separatist leaders. All are formidable opponents. The set includes Riot Scout Trooper VC255, KX Security Droid VC256, and MagnaGuard VC188 action figures.​","/star-wars/images/thumbs/jedi-survivor-multipack-4273.jpg","C$69.89","null","null"
"1700780224-1329","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Incinerator Trooper & Grogu (Deluxe)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/incinerator-trooper-grogu-deluxe-3727.php","Star Wars The Vintage Collection Incinerator Trooper & Grogu (Deluxe)","Star Wars The Vintage Collection Incinerator Trooper & Grogu (Deluxe) 
The incinerator trooper wields powerful flamethrower weaponry to set enemies and their fortifications ablaze. And Grogu is a mysterious alien pursued by bounty hunters.","/star-wars/images/thumbs/incinerator-trooper-grogu-deluxe-3727.jpg","43","C$33.20","C$27.23"
"1700780227-1330","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Imperial Stormtrooper (Nevarro Cantina - Deluxe)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/imperial-stormtrooper-nevarro-cantina-deluxe-3728.php","Star Wars The Vintage Collection Imperial Stormtrooper (Nevarro Cantina - Deluxe)","Star Wars The Vintage Collection Imperial Stormtrooper (Nevarro Cantina - Deluxe) 
Elite shock troops fanatically loyal to the Empire and impossible to sway from the Imperial cause. They wear imposing white armor, which allows them to survive in almost any environment.","/star-wars/images/thumbs/imperial-stormtrooper-nevarro-cantina-deluxe-3728.jpg","41","C$37.18","C$32.72"
"1700780229-1331","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Imperial Death Trooper 4 Pack","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/imperial-death-trooper-4-pack-4130.php","Star Wars The Vintage Collection Imperial Death Trooper 4 Pack","Star Wars The Vintage Collection Imperial Death Trooper 4 Pack 
Elite Imperial soldiers, death troopers wear specialized stormtrooper armor with a dark, ominous gleam. They serve as bodyguards and enforcers for Imperial figureheads","/star-wars/images/thumbs/imperial-death-trooper-4-pack-4130.jpg","22","C$64.14","C$59.84"
"1700780231-1332","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Boba Fett (Tatooine - Deluxe)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/boba-fett-tatooine-deluxe-3734.php","Star Wars The Vintage Collection Boba Fett (Tatooine - Deluxe)","Star Wars The Vintage Collection Boba Fett (Tatooine - Deluxe) 
Once regarded as one of the most fearsome bounty hunters in the galaxy, Boba Fett seemingly met his demise in the Sarlacc pit. A survivor, Fett lived to fight another day.","/star-wars/images/thumbs/boba-fett-tatooine-deluxe-3734.jpg","57","C$29.84","C$26.96"
"1700780233-1333","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Ahsoka Tano & Grogu (Deluxe)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/ahsoka-tano-grogu-deluxe-3729.php","Star Wars The Vintage Collection Ahsoka Tano & Grogu (Deluxe)","Star Wars The Vintage Collection Ahsoka Tano & Grogu (Deluxe) 
Now a wandering Jedi, Ahsoka Tano forges her own path in the galaxy, righting injustices that she discovers. Grogu, a mysterious alien, is being pursued by bounty hunters.","/star-wars/images/thumbs/ahsoka-tano-grogu-deluxe-3729.jpg","28","C$43.13","C$36.14"
"1700780235-1334","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Emperor’s Throne Room","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/emperors-throne-room-2861.php","Star Wars The Vintage Collection Emperor’s Throne Room","Star Wars The Vintage Collection Emperor’s Throne Room 
Sheev Palpatine manipulated the political system of the Galactic Empire until he was named Supreme Chancellor – and eventually Emperor. The Emperor’s Death Star throne room was the site of a climactic showdown between Jedi and Sith at the Battle of Endor. Includes: The Emperor, throne, throne room window background, and 4 accessories: 2 lightning hands, cane, and Luke Skywalker’s Lightsaber hilt.","/star-wars/images/thumbs/emperors-throne-room-2861.jpg","60","C$77.19","C$67.93"
"1700780238-1335","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Stormtrooper Action Figure Set","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/stormtrooper-action-figure-set-3204.php","Star Wars The Vintage Collection Stormtrooper Action Figure Set","Star Wars The Vintage Collection Stormtrooper Action Figure Set 
Stormtroopers are elite shock troops fanatically loyal to the Empire and impossible to sway from the Imperial cause. These four 3 3/4'' scale Stormtrooper action figures are highly articulated and come with six accessories. Part of Hasbro's Star Wars The Vintage Collection, the vintage-inspired packaging features the original Kenner branding.","/star-wars/images/thumbs/stormtrooper-action-figure-set-3204.jpg","C$57.55","null","C$91.49"
"1700780240-1336","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Bad Batch Special 4-Pack","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/bad-batch-special-4-pack-2636.php","Star Wars The Vintage Collection Bad Batch Special 4-Pack","Star Wars The Vintage Collection Bad Batch Special 4-Pack 
THE BAD BATCH Figure 4-Pack is inspired by STAR WARS: THE BAD BATCH animated series and makes a great gift for STAR WARS fans and collectors. This action figure 4-pack is inspired by the characters in STAR WARS: THE BAD BATCH, and includes CLONE CAPTAIN REX (BRACCA), CLONE CAPTAIN BALLAST, CLONE CAPTAIN GREY, and ELITE SQUAD TROOPER figures each presented on individual STAR WARS: THE VINTAGE COLLECTION cardbacks contained in additional packaging. These fully articulated figures feature poseable heads, arms, and legs, as well as premium design and detail. Includes 4 figures and 10 accessories. Available for pre-order exclusively at Amazon.","/star-wars/images/thumbs/bad-batch-special-4-pack-2636.jpg","59","C$66.73","C$62.90"
"1700780242-1337","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","501st Legion ARC Troopers","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/501st-legion-arc-troopers-1877.php","Star Wars The Vintage Collection 501st Legion ARC Troopers","Star Wars The Vintage Collection 501st Legion ARC Troopers 
The Clone Troopers of the 501st Legion were a tight-knit bunch, loyal to the end to their Jedi General, Anakin Skywalker. Clone Troopers Echo, Fives, and Jesse were comrades-in-arms in the 501st","/star-wars/images/thumbs/501st-legion-arc-troopers-1877.jpg","16","C$125.07","C$124.96"
"1700780244-1338","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Special 3 Action Figures (Skiff Guards)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/special-3-action-figures-skiff-guards-1893.php","Star Wars The Vintage Collection Special 3 Action Figures (Skiff Guards)","Star Wars The Vintage Collection Special 3 Action Figures (Skiff Guards) 
Vizam, Vedain, And Brock Starsher Get Much More Than They Bargained For When They Try To Make Luke Skywalker Walk The Plank Over The Sarlacc Pit On Tatooine. With A Little Help From His Trusted Droid, R2-D2, And His Friends, Han Solo, Chewbacca, And Lando Calrissian, Luke Is Able To Fight Off Jabba The Hutt’s Men And Make His Daring Escape. With This Star Wars The Vintage Collection Tatooine Skiff Action Figure Set, Fans Can Recreate This Classic Return Of The Jedi Battle And Imagine New Adventures.","/star-wars/images/thumbs/special-3-action-figures-skiff-guards-1893.jpg","C$54.81","null","C$65.10"
"1700780246-1339","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Luke Skywalker Jedi Destiny Set","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/luke-skywalker-jedi-destiny-set-1891.php","Star Wars The Vintage Collection Luke Skywalker Jedi Destiny Set","Star Wars The Vintage Collection Luke Skywalker Jedi Destiny Set 
The Journey of the legendary Luke Skywalker began on Tatooine. A simple farmboy, Luke’s life was forever changed when he discovered a message from the rebel Princess Leia. Luke infiltrated the Death Star, disguised as a Stormtrooper, to rescue the princess. He then joined the Rebellion and piloted an X-Wing into battle against the Empire. But the call of the Force was strong, and after training with Jedi Master Yoda, Luke realized his true power as a Jedi Knight.","/star-wars/images/thumbs/luke-skywalker-jedi-destiny-set-1891.jpg","C$68.52","null","null"
"1700780249-1340","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Cave Of Evil","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/cave-of-evil-1883.php","Star Wars The Vintage Collection Cave Of Evil","Star Wars The Vintage Collection Cave Of Evil 
While training on Dagobah, Luke Skywalker faces a chilling test in the Cave of Evil, facing off against a spectral Darth Vader whose helmet conceals Lukes own face!","/star-wars/images/thumbs/cave-of-evil-1883.jpg","31","C$30.45","C$23.22"
"1700780251-1341","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Doctor Aphra Comic Set","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/doctor-aphra-comic-set-1884.php","Star Wars The Vintage Collection Doctor Aphra Comic Set","Star Wars The Vintage Collection Doctor Aphra Comic Set 
On a mission gone wrong, Doctor Aphra finds herself at the hands of the formidable Sith Lord, Darth Vader. A rare survivor of such meetings, Aphra is recruited by Vader for her skills in reprogramming droids and her apparent lack of remorse for breaking the law to get what she wants. After a brief checkered partnership with Darth Vader, Doctor Aphra escapes from the control of her dark supervisor and his clandestine agenda. Free of her obligations to Vader, Aphra ventures out with her assassin droids, 0-0-0 aka Triple Zero and BT-1 aka Beetee, and Wookiee bounty hunter Black Krrsantan in search of new opportunities, legal and otherwise. Though unafraid of using whatever means necessary to get what she wants, Doctor Aphra is careful to avoid additional entanglements with Darth Vader, understanding all too well the vast reaches of his unflinching power.","/star-wars/images/thumbs/doctor-aphra-comic-set-1884.jpg","17","C$129.01","C$107.14"
"1700780253-1342","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Imperial Scanning Crew","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/imperial-scanning-crew-1882.php","Star Wars The Vintage Collection Imperial Scanning Crew","Star Wars The Vintage Collection Imperial Scanning Crew 
The Millenium Falcon is captured by the Death Star. A scanning crew searches the ship for the crew while Stormtrooper TK-421 stands guard outside the ship.","/star-wars/images/thumbs/imperial-scanning-crew-1882.jpg","C$20.55","null","C$100.48"
"1700780255-1343","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Ewok Assault Catapult","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/ewok-assault-catapult-1880.php","Star Wars The Vintage Collection Ewok Assault Catapult","Star Wars The Vintage Collection Ewok Assault Catapult 
The Ewoks help a Rebel strike team capture the shield generator that is protecting the second Death Star from attack. Re-create some of your favorite scenes from the Star Wars: Return of the Jedi film with this realistic Ewok Assault Catapult!","/star-wars/images/thumbs/ewok-assault-catapult-1880.jpg","3","C$98.68","C$98.00"
"1700780257-1344","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Death Star Scanning Crew","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/death-star-scanning-crew-1878.php","Star Wars The Vintage Collection Death Star Scanning Crew","Star Wars The Vintage Collection Death Star Scanning Crew 
The Millennium Falcon is captured by the Death Star. A scanning crew checks the ship for crew or Droids while an Imperial officer monitors the investigation.

Re-create the suspenseful moment when the Millennium Falcon was captured by the Imperial forces with the Death Star Scanning Crew figure set! The set includes armed Imperial Officer and Imperial Technician figures and gear for a ship scan. Your collection – and your adventures – won't be complete without them!","/star-wars/images/thumbs/death-star-scanning-crew-1878.jpg","8","C$113.07","C$93.65"
