web-scraper-order,web-scraper-start-url,build_a_figure_link,build_a_figure_link-href,figure_link,figure_link-href,name,description,image-src,price
"1700699325-612","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Wendigo","https://www.actionfigure411.com/marvel/marvel-legends-xmen-xforce-wendigo-baf-wave-1-price-guide.php","Mister Sinister","https://www.actionfigure411.com/marvel/marvel-legends-wendigo-mister-sinister-1267.php","Marvel Legends Mister Sinister Wendigo Build A Figure","Marvel Legends Mister Sinister Wendigo Build A Figure 
Marvel Legends Mister Sinister as part of the X-Men X-Force movies and Wendigo Build A Figure wave. Includes the right arm to complete the BAF. A scientific genius with evil intentions, Nathaniel Essex genetically alters his human form to become the shape-shifting telepath known as Mister Sinister.","/marvel/images/thumbs/mister-sinister-1267.jpg","C$53.06"
"1700699327-613","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Wendigo","https://www.actionfigure411.com/marvel/marvel-legends-xmen-xforce-wendigo-baf-wave-1-price-guide.php","Nightcrawler","https://www.actionfigure411.com/marvel/marvel-legends-wendigo-nightcrawler-1269.php","Marvel Legends Nightcrawler Wendigo Build A Figure","Marvel Legends Nightcrawler Wendigo Build A Figure 
Marvel Legends Nightcrawler as part of the X-Men X-Force movies and Wendigo Build A Figure wave. Includes the left arm to complete the BAF. With sticky hands, a sharp tail, and piercing yellow eyes, The trouble-making Mutant Nightcrawler scales walls and teleports from place to place.","/marvel/images/thumbs/nightcrawler-1269.jpg","C$85.31"
"1700699329-614","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Wendigo","https://www.actionfigure411.com/marvel/marvel-legends-xmen-xforce-wendigo-baf-wave-1-price-guide.php","Guardian","https://www.actionfigure411.com/marvel/marvel-legends-wendigo-guardian-1268.php","Marvel Legends Guardian Wendigo Build A Figure","Marvel Legends Guardian Wendigo Build A Figure 
Marvel Legends Guardian as part of the X-Men X-Force movies and Wendigo Build A Figure wave. Includes the torso to complete the BAF. Proudly donning the maple League flag of his home Nation, James Hudson suits up in advanced battle armor to manipulate magnetic forces and protect the earth as Guardian.","/marvel/images/thumbs/guardian-1268.jpg","C$29.34"
"1700699331-615","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Wendigo","https://www.actionfigure411.com/marvel/marvel-legends-xmen-xforce-wendigo-baf-wave-1-price-guide.php","Cannonball","https://www.actionfigure411.com/marvel/marvel-legends-wendigo-cannonball-1270.php","Marvel Legends Cannonball Wendigo Build A Figure","Marvel Legends Cannonball Wendigo Build A Figure 
Marvel Legends Cannonball as part of the X-Men X-Force movies and Wendigo Build A Figure wave. Includes the right leg to complete the BAF. Samuel Guthrie creates a powerful force field to fly at superhuman speeds As a leader of the new mutants known as cannonball.","/marvel/images/thumbs/cannonball-1270.jpg","C$22.49"
"1700699333-616","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Wendigo","https://www.actionfigure411.com/marvel/marvel-legends-xmen-xforce-wendigo-baf-wave-1-price-guide.php","Boom-Boom","https://www.actionfigure411.com/marvel/marvel-legends-wendigo-boom-boom-1271.php","Marvel Legends Boom-Boom Wendigo Build A Figure","Marvel Legends Boom-Boom Wendigo Build A Figure 
Marvel Legends Boom-Boom as part of the X-Men X-Force movies and Wendigo Build A Figure wave. Includes the left leg to complete the BAF. Tabitha Smith, Alias boom-boom, manipulates energy to create explosive time bombs that she can detonate at any moment.","/marvel/images/thumbs/boom-boom-1271.jpg","C$31.13"
"1700699337-617","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Watcher","https://www.actionfigure411.com/marvel/marvel-legends-what-if-watcher-baf-wave-1-price-guide.php","Captain Carter (Stealth Suit)","https://www.actionfigure411.com/marvel/marvel-legends-watcher-captain-carter-stealth-suit-3709.php","Marvel Legends Captain Carter (Stealth Suit) Watcher Build A Figure","Marvel Legends Captain Carter (Stealth Suit) Watcher Build A Figure 
Target Exclusive variation of Captain Carter from What If, The Watcher BAF series.","/marvel/images/thumbs/captain-carter-stealth-suit-3709.jpg","C$20.72"
"1700699340-618","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Watcher","https://www.actionfigure411.com/marvel/marvel-legends-what-if-watcher-baf-wave-1-price-guide.php","Zombie Hunter Spidey","https://www.actionfigure411.com/marvel/marvel-legends-watcher-zombie-hunter-spidey-2912.php","Marvel Legends Zombie Hunter Spidey Watcher Build A Figure","Marvel Legends Zombie Hunter Spidey Watcher Build A Figure 
Zombie Hunter Spidey is in a ragtag group of survivors, fighting his way through a zombie-infested world. Includes right leg to complete The Watcher Build-A-Figure.","/marvel/images/thumbs/zombie-hunter-spidey-2912.jpg","C$49.99"
"1700699342-619","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Watcher","https://www.actionfigure411.com/marvel/marvel-legends-what-if-watcher-baf-wave-1-price-guide.php","Zombie Captain America","https://www.actionfigure411.com/marvel/marvel-legends-watcher-zombie-captain-america-2914.php","Marvel Legends Zombie Captain America Watcher Build A Figure","Marvel Legends Zombie Captain America Watcher Build A Figure 
Captain America's team were the first responders to the zombie outbreak — and its first victims. Does not include any BAF pieces.","/marvel/images/thumbs/zombie-captain-america-2914.jpg","C$34.79"
"1700699344-620","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Watcher","https://www.actionfigure411.com/marvel/marvel-legends-what-if-watcher-baf-wave-1-price-guide.php","The Watcher","https://www.actionfigure411.com/marvel/marvel-legends-watcher-the-watcher-2916.php","Marvel Legends The Watcher Watcher Build A Figure","Marvel Legends The Watcher Watcher Build A Figure 
The Watcher BAF as part of the Marvel Legends What If series released in 2021.","/marvel/images/thumbs/the-watcher-2916.jpg","C$59.38"
"1700699346-621","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Watcher","https://www.actionfigure411.com/marvel/marvel-legends-what-if-watcher-baf-wave-1-price-guide.php","T'Challa Star-Lord","https://www.actionfigure411.com/marvel/marvel-legends-watcher-tchalla-star-lord-2915.php","Marvel Legends T'Challa Star-Lord Watcher Build A Figure","Marvel Legends T'Challa Star-Lord Watcher Build A Figure 
T'Challa grew up in space and became Star-Lord, now leading adventures throughout the galaxy. Includes head to complete The Watcher Build-A-Figure.","/marvel/images/thumbs/tchalla-star-lord-2915.jpg","C$16.76"
"1700699348-622","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Watcher","https://www.actionfigure411.com/marvel/marvel-legends-what-if-watcher-baf-wave-1-price-guide.php","Sylvie","https://www.actionfigure411.com/marvel/marvel-legends-watcher-sylvie-2909.php","Marvel Legends Sylvie Watcher Build A Figure","Marvel Legends Sylvie Watcher Build A Figure 
Laser focused and relentless, Sylvie is the TVA’s most formidable villain, who has vowed to burn the organization to the ground. Includes cape to complete The Watcher Build-A-Figure.","/marvel/images/thumbs/sylvie-2909.jpg","C$21.73"
"1700699350-623","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Watcher","https://www.actionfigure411.com/marvel/marvel-legends-what-if-watcher-baf-wave-1-price-guide.php","Heist Nebula","https://www.actionfigure411.com/marvel/marvel-legends-watcher-heist-nebula-2910.php","Marvel Legends Heist Nebula Watcher Build A Figure","Marvel Legends Heist Nebula Watcher Build A Figure 
In this universe, Nebula was never raised by Thanos. Tech savvy and brave, the intergalactic Femme Fatale, Nebula is an intergalactic opportunist in the galaxy’s underworld. Includes torso to complete The Watcher Build-A-Figure.","/marvel/images/thumbs/heist-nebula-2910.jpg","C$19.97"
"1700699353-624","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Watcher","https://www.actionfigure411.com/marvel/marvel-legends-what-if-watcher-baf-wave-1-price-guide.php","Doctor Strange Supreme","https://www.actionfigure411.com/marvel/marvel-legends-watcher-doctor-strange-supreme-2911.php","Marvel Legends Doctor Strange Supreme Watcher Build A Figure","Marvel Legends Doctor Strange Supreme Watcher Build A Figure 
When an unforeseen event changes Stephen Strange's perspective on life, the path he chooses is one filled with even darker magic. Includes left leg to complete The Watcher Build-A-Figure.","/marvel/images/thumbs/doctor-strange-supreme-2911.jpg","C$33.33"
"1700699355-625","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Watcher","https://www.actionfigure411.com/marvel/marvel-legends-what-if-watcher-baf-wave-1-price-guide.php","Captain Carter","https://www.actionfigure411.com/marvel/marvel-legends-watcher-captain-carter-2913.php","Marvel Legends Captain Carter Watcher Build A Figure","Marvel Legends Captain Carter Watcher Build A Figure 
With the Super Soldier program in peril, Peggy Carter bravely participates by becoming Captain Carter. Includes both arms to complete The Watcher Build-A-Figure.","/marvel/images/thumbs/captain-carter-2913.jpg","C$29.54"
"1700699361-626","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Vulture","https://www.actionfigure411.com/marvel/marvel-legends-spiderman-homecoming-vulture-baf-wave-6-price-guide.php","Vulture (BAF)","https://www.actionfigure411.com/marvel/marvel-legends-vulture-vulture-baf-542.php","Marvel Legends Vulture (BAF) Vulture Build A Figure","Marvel Legends Vulture (BAF) Vulture Build A Figure 
The completed Vulture build a figure from the Spiderman: Homecoming BAF series.","/marvel/images/thumbs/vulture-baf-542.jpg","C$52.56"
"1700699364-627","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Vulture","https://www.actionfigure411.com/marvel/marvel-legends-spiderman-homecoming-vulture-baf-wave-6-price-guide.php","Vulture","https://www.actionfigure411.com/marvel/marvel-legends-vulture-vulture-499.php","Marvel Legends Vulture Vulture Build A Figure","Marvel Legends Vulture Vulture Build A Figure 
A nefarious villain with his eyes set on ultimate technological dominance, Vulture suits up in an enhanced suit that makes him nearly unstoppable. Collect the other figures in this series to complete his flight gear.","/marvel/images/thumbs/vulture-499.jpg","C$21.86"
"1700699366-628","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Vulture","https://www.actionfigure411.com/marvel/marvel-legends-spiderman-homecoming-vulture-baf-wave-6-price-guide.php","Tombstone","https://www.actionfigure411.com/marvel/marvel-legends-vulture-tombstone-501.php","Marvel Legends Tombstone Vulture Build A Figure","Marvel Legends Tombstone Vulture Build A Figure 
When the battle for justice is underway, artificial enhancements make these villains stronger, faster, and even more of a threat. Includes fan assembly to complete Vulture BAF.","/marvel/images/thumbs/tombstone-501.jpg","C$35.92"
"1700699368-629","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Vulture","https://www.actionfigure411.com/marvel/marvel-legends-spiderman-homecoming-vulture-baf-wave-6-price-guide.php","Spider Man - Homemade Suit","https://www.actionfigure411.com/marvel/marvel-legends-vulture-spider-man-homemade-suit-496.php","Marvel Legends Spider Man - Homemade Suit Vulture Build A Figure","Marvel Legends Spider Man - Homemade Suit Vulture Build A Figure 
When Peter Parker discovers spider-like senses and wall-crawling abilities, he develops his own suit to become Spider-Man. Includes wing to complete Vulture BAF.","/marvel/images/thumbs/spider-man-homemade-suit-496.jpg","C$68.49"
"1700699370-630","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Vulture","https://www.actionfigure411.com/marvel/marvel-legends-spiderman-homecoming-vulture-baf-wave-6-price-guide.php","Spider Man","https://www.actionfigure411.com/marvel/marvel-legends-vulture-spider-man-495.php","Marvel Legends Spider Man Vulture Build A Figure","Marvel Legends Spider Man Vulture Build A Figure 
When crime hits the big city, Peter Parker suits up as New Yorks own web-slinging, wall-crawling hero, Spider-Man. Includes wing to complete Vulture Flight Gear.","/marvel/images/thumbs/spider-man-495.jpg","C$60.66"
"1700699372-631","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Vulture","https://www.actionfigure411.com/marvel/marvel-legends-spiderman-homecoming-vulture-baf-wave-6-price-guide.php","Moon Knight","https://www.actionfigure411.com/marvel/marvel-legends-vulture-moon-knight-497.php","Marvel Legends Moon Knight Vulture Build A Figure","Marvel Legends Moon Knight Vulture Build A Figure 
A vision in an Egyptian temple leads Marc Spector to don a silver shroud and become the crime-fighting hero, Moon Knight. Includes wing for Vulture BAF component.","/marvel/images/thumbs/moon-knight-497.jpg","C$45.21"
"1700699374-632","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Vulture","https://www.actionfigure411.com/marvel/marvel-legends-spiderman-homecoming-vulture-baf-wave-6-price-guide.php","Cosmic Spider-Man","https://www.actionfigure411.com/marvel/marvel-legends-vulture-cosmic-spider-man-498.php","Marvel Legends Cosmic Spider-Man Vulture Build A Figure","Marvel Legends Cosmic Spider-Man Vulture Build A Figure 
With incredible strength, stamina, and cosmic senses, Spider-Man battles tirelessly on the side of universal justice. Includes wing to complete Vulture BAF.","/marvel/images/thumbs/cosmic-spider-man-498.jpg","C$79.93"
"1700699377-633","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Vulture","https://www.actionfigure411.com/marvel/marvel-legends-spiderman-homecoming-vulture-baf-wave-6-price-guide.php","Beetle","https://www.actionfigure411.com/marvel/marvel-legends-vulture-beetle-500.php","Marvel Legends Beetle Vulture Build A Figure","Marvel Legends Beetle Vulture Build A Figure 
When the battle for justice is underway, artificial enhancements make these villains stronger, faster, and even more of a threat. Collect to build Marvels Vulture Flight Gear. Includes fan assembly.","/marvel/images/thumbs/beetle-500.jpg","C$36.18"
"1700699381-634","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Venompool","https://www.actionfigure411.com/marvel/marvel-legends-spider-man-venom-venompool-baf-wave-1-price-guide.php","Venompool (BAF)","https://www.actionfigure411.com/marvel/marvel-legends-venompool-venompool-baf-1519.php","Marvel Legends Venompool (BAF) Venompool Build A Figure","Marvel Legends Venompool (BAF) Venompool Build A Figure 
Venompool is an alternate reality version of Deadpool from Earth-90211. He is the combination of Deadpool and the Venom symbiote. Being part of Earth-90211, he is a part of a reality the Beyonder loves partying in, a reality perpetually stuck in the 1980's in many regards.","/marvel/images/thumbs/venompool-baf-1519.jpg","C$94.54"
"1700699383-635","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Venompool","https://www.actionfigure411.com/marvel/marvel-legends-spider-man-venom-venompool-baf-wave-1-price-guide.php","Venom","https://www.actionfigure411.com/marvel/marvel-legends-venompool-venom-1513.php","Marvel Legends Venom Venompool Build A Figure","Marvel Legends Venom Venompool Build A Figure 
Failed reporter Eddie Brock is hijacked by an alien entity that takes a liking to Earth and decides to protect it. Does not include a BAF part.","/marvel/images/thumbs/venom-1513.jpg","C$40.92"
"1700699385-636","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Venompool","https://www.actionfigure411.com/marvel/marvel-legends-spider-man-venom-venompool-baf-wave-1-price-guide.php","Phage","https://www.actionfigure411.com/marvel/marvel-legends-venompool-phage-1515.php","Marvel Legends Phage Venompool Build A Figure","Marvel Legends Phage Venompool Build A Figure 
The Phage symbiote gives its host the ability to forge incredibly dangerous bladed weapons to attack its victims. Includes Legs to complete Venompool Build A Figure.","/marvel/images/thumbs/phage-1515.jpg","C$63.02"
"1700699387-637","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Venompool","https://www.actionfigure411.com/marvel/marvel-legends-spider-man-venom-venompool-baf-wave-1-price-guide.php","Morbius","https://www.actionfigure411.com/marvel/marvel-legends-venompool-morbius-1516.php","Marvel Legends Morbius Venompool Build A Figure","Marvel Legends Morbius Venompool Build A Figure 
Michael Morbius, the living vampire, prowls the night tortured by his life-sustaining thirst. Includes Right Arm to complete Venompool Build A Figure.","/marvel/images/thumbs/morbius-1516.jpg","C$50.52"
"1700699390-638","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Venompool","https://www.actionfigure411.com/marvel/marvel-legends-spider-man-venom-venompool-baf-wave-1-price-guide.php","Miles Morales","https://www.actionfigure411.com/marvel/marvel-legends-venompool-miles-morales-1517.php","Marvel Legends Miles Morales Venompool Build A Figure","Marvel Legends Miles Morales Venompool Build A Figure 
When the Venom symbiote attaches to Miles Morales, he gains extreme new powers. Includes Left Arm to complete Venompool Build A Figure.","/marvel/images/thumbs/miles-morales-1517.jpg","C$105.99"
"1700699392-639","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Venompool","https://www.actionfigure411.com/marvel/marvel-legends-spider-man-venom-venompool-baf-wave-1-price-guide.php","Ghost Spider","https://www.actionfigure411.com/marvel/marvel-legends-venompool-ghost-spider-1518.php","Marvel Legends Ghost Spider Venompool Build A Figure","Marvel Legends Ghost Spider Venompool Build A Figure 
When the Venom symbiote attaches to Gwen Stacy, she gains extreme new powers as Ghost-Spider. Includes Torso to complete Venompool Build A Figure.","/marvel/images/thumbs/ghost-spider-1518.jpg","C$37.05"
"1700699394-640","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Venompool","https://www.actionfigure411.com/marvel/marvel-legends-spider-man-venom-venompool-baf-wave-1-price-guide.php","Carnage","https://www.actionfigure411.com/marvel/marvel-legends-venompool-carnage-1514.php","Marvel Legends Carnage Venompool Build A Figure","Marvel Legends Carnage Venompool Build A Figure 
Twisted criminal Cletus Kasady sows chaos in the streets as the bloodthirsty villain Carnage. Includes Head to complete Venompool Build A Figure.","/marvel/images/thumbs/carnage-1514.jpg","C$37.67"
"1700699398-641","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Ursa Major","https://www.actionfigure411.com/marvel/marvel-legends-iron-man-ursa-major-baf-wave-1-price-guide.php","Vault Guardsman","https://www.actionfigure411.com/marvel/marvel-legends-ursa-major-vault-guardsman-2099.php","Marvel Legends Vault Guardsman Ursa Major Build A Figure","Marvel Legends Vault Guardsman Ursa Major Build A Figure 
With armor equipped with repulsor rays, high-carbon steel alloy mesh and radiation shielding, Vault Guardsman turns his sights on the complete destruction of Iron Man. Includes Left Arm to complete Ursa Major Build A Figure.","/marvel/images/thumbs/vault-guardsman-2099.jpg","C$18.20"
"1700699400-642","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Ursa Major","https://www.actionfigure411.com/marvel/marvel-legends-iron-man-ursa-major-baf-wave-1-price-guide.php","Ursa Major (BAF)","https://www.actionfigure411.com/marvel/marvel-legends-ursa-major-ursa-major-baf-2102.php","Marvel Legends Ursa Major (BAF) Ursa Major Build A Figure","Marvel Legends Ursa Major (BAF) Ursa Major Build A Figure 
Ursa Major Build A Figure released in 2021.","/marvel/images/thumbs/ursa-major-baf-2102.jpg","C$66.83"
"1700699403-643","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Ursa Major","https://www.actionfigure411.com/marvel/marvel-legends-iron-man-ursa-major-baf-wave-1-price-guide.php","Ultron","https://www.actionfigure411.com/marvel/marvel-legends-ursa-major-ultron-2095.php","Marvel Legends Ultron Ursa Major Build A Figure","Marvel Legends Ultron Ursa Major Build A Figure 
Robot. Maniacal genius. Science experiment gone wrong. Ultron is the supreme weapon of mass destruction and a mortal threat to the Avengers— and all humankind. Includes Right Arm to complete Ursa Major Build A Figure.","/marvel/images/thumbs/ultron-2095.jpg","C$53.43"
"1700699405-644","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Ursa Major","https://www.actionfigure411.com/marvel/marvel-legends-iron-man-ursa-major-baf-wave-1-price-guide.php","Stealth Iron Man","https://www.actionfigure411.com/marvel/marvel-legends-ursa-major-stealth-iron-man-2097.php","Marvel Legends Stealth Iron Man Ursa Major Build A Figure","Marvel Legends Stealth Iron Man Ursa Major Build A Figure 
Tony Stark designed the Stealth Armor to maximize on concealment over offensive weaponry. Includes Left Leg to complete Ursa Major Build A Figure.","/marvel/images/thumbs/stealth-iron-man-2097.jpg","C$32.74"
"1700699407-645","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Ursa Major","https://www.actionfigure411.com/marvel/marvel-legends-iron-man-ursa-major-baf-wave-1-price-guide.php","Modular Iron Man","https://www.actionfigure411.com/marvel/marvel-legends-ursa-major-modular-iron-man-2096.php","Marvel Legends Modular Iron Man Ursa Major Build A Figure","Marvel Legends Modular Iron Man Ursa Major Build A Figure 
A dazzling technological achievement, the modular suit allows Tony Stark to reconfigure sub-systems like boots, gloves, helmets and scanners on the fly. Does not include a BAF piece.","/marvel/images/thumbs/modular-iron-man-2096.jpg","C$33.83"
"1700699409-646","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Ursa Major","https://www.actionfigure411.com/marvel/marvel-legends-iron-man-ursa-major-baf-wave-1-price-guide.php","Ironheart","https://www.actionfigure411.com/marvel/marvel-legends-ursa-major-ironheart-2098.php","Marvel Legends Ironheart Ursa Major Build A Figure","Marvel Legends Ironheart Ursa Major Build A Figure 
A certified super-genius, Riri Williams turns a dorm room project into a high-tech, high-flying suit of armor and becomes a force for good. Includes Right Leg to complete Ursa Major Build A Figure.","/marvel/images/thumbs/ironheart-2098.jpg","C$36.31"
"1700699411-647","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Ursa Major","https://www.actionfigure411.com/marvel/marvel-legends-iron-man-ursa-major-baf-wave-1-price-guide.php","Hologram Iron Man","https://www.actionfigure411.com/marvel/marvel-legends-ursa-major-hologram-iron-man-2101.php","Marvel Legends Hologram Iron Man Ursa Major Build A Figure","Marvel Legends Hologram Iron Man Ursa Major Build A Figure 
Ever the innovator, Tony Stark takes flight in holographic form, a computer-generated avatar and an enduring force for good. The clear blue Marvel Legends Comic Hologram Iron Man 6-Inch Action Figure includes alternate hands, blast effects. Includes Head to complete Ursa Major Build A Figure.","/marvel/images/thumbs/hologram-iron-man-2101.jpg","C$26.10"
