web-scraper-order,web-scraper-start-url,action_figure_link,action_figure_link-href,name,image-src,price,description
"1700691326-24","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Jabba the Hutt & Salacious B. Crumb (ROTJ)","https://www.actionfigure411.com/star-wars/6-black-series/deluxe-sets/jabba-the-hutt-salacious-b-crumb-rotj-6389.php","Star Wars 6"" Black Series Jabba the Hutt & Salacious B. Crumb (ROTJ)","/star-wars/images/thumbs/jabba-the-hutt-salacious-b-crumb-rotj-6389.jpg","C$150.72","Star Wars 6"" Black Series Jabba the Hutt & Salacious B. Crumb (ROTJ) 
Jabba the Hutt was one of the galaxy’s most powerful gangsters, with far-reaching influence in both politics and the criminal underworld.



This item comes with a collectible Star Wars The Black Series Salacious B. Crumb action figure, featuring premium deco and articulation"
"1700691328-25","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Darth Vader (Revenge of the Jedi)","https://www.actionfigure411.com/star-wars/6-black-series/deluxe-sets/darth-vader-revenge-of-the-jedi-6390.php","Star Wars 6"" Black Series Darth Vader (Revenge of the Jedi)","/star-wars/images/thumbs/darth-vader-revenge-of-the-jedi-6390.jpg","C$49.70","Star Wars 6"" Black Series Darth Vader (Revenge of the Jedi) 
Revenge of the Jedi, Episode VI’s working title, was featured in the film’s first trailer and early promotional materials. But just before its release, the name was changed to Star Wars: Return of the Jedi.



Exclusive to Convention Attendees only from 4/7 through 4/10"
"1700691331-26","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Snowspeeder","https://www.actionfigure411.com/star-wars/6-black-series/deluxe-sets/snowspeeder-1366.php","Star Wars 6"" Black Series Snowspeeder","/star-wars/images/thumbs/snowspeeder-1366.jpg","C$101.13","Star Wars 6"" Black Series Snowspeeder 
SNOWSPEEDER: On Hoth, the Rebels modified T-47 airspeeders to become snowspeeders, fast flying conveyances for patrol and defense of their hidden base. The 6-inch-scale Black Series snowspeeder vehicle with Dak Ralter action figure are detailed to look like the vehicle and character from Star Wars: The Empire Strikes Back, featuring premium detail and multiple points of articulation."
"1700691333-27","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","The Child (The Mandalorian)","https://www.actionfigure411.com/star-wars/6-black-series/deluxe-sets/the-child-the-mandalorian-1416.php","Star Wars 6"" Black Series The Child (The Mandalorian)","/star-wars/images/thumbs/the-child-the-mandalorian-1416.jpg","C$13.74","Star Wars 6"" Black Series The Child (The Mandalorian) 
He may look like a Baby Yoda, but he's actually called The Child, and he is the most adorable new character from here to the Outer Rim! Now fans can add the pint-sized galactic sensation to their Star Wars The Black Series collections!"
"1700691335-28","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Stormtrooper with Blast Accessories","https://www.actionfigure411.com/star-wars/6-black-series/deluxe-sets/stormtrooper-with-blast-accessories-1052.php","Star Wars 6"" Black Series Stormtrooper with Blast Accessories","/star-wars/images/thumbs/stormtrooper-with-blast-accessories-1052.jpg","C$40.86","Star Wars 6"" Black Series Stormtrooper with Blast Accessories 
Deluxe blaster damaged Stormtrooper including blast accessories and effects with stand. Stormtroopers are elite shock troops fanatically loyal to the Empire and impossible to sway from the Imperial cause. They wear imposing white armor, which offers a wide range of survival equipment and temperature controls to allow the soliders to survive in almost any environment. Stormtroopers wield blaster rifles and pistols with great skill, and attack in hordes to overwhelm their enemies."
"1700691337-29","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Rey Centerpiece","https://www.actionfigure411.com/star-wars/6-black-series/deluxe-sets/rey-centerpiece-1139.php","Star Wars 6"" Black Series Rey Centerpiece","/star-wars/images/thumbs/rey-centerpiece-1139.jpg","C$30.35","Star Wars 6"" Black Series Rey Centerpiece 
A resilient survivor with much to learn about the ways of the Force, Rey faces off against Kylo Ren in a fiery duel of blues and reds while the stark, icy landscape of Starkiller Base crumbles around them. 


Imagine Rey battling Kylo Ren in the icy forests of Starkiller Base in Star Wars: The Force Awakens with this Star Wars The Black Series Centerpiece Rey (Starkiller), featuring Rey wielding her iconic lightsaber. With a premium base featuring lights that invite building out the iconic scene with more figures, vehicles, and accessories, Star Wars The Black Series Centerpiece Rey (Starkiller Base) truly serves as the centerpiece of any fans treasured display."
"1700691339-30","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Porgs 2 Pack","https://www.actionfigure411.com/star-wars/6-black-series/deluxe-sets/porgs-2-pack-1040.php","Star Wars 6"" Black Series Porgs 2 Pack","/star-wars/images/thumbs/porgs-2-pack-1040.jpg","C$15.81","Star Wars 6"" Black Series Porgs 2 Pack 
Small, flat-muzzled avians that flock about the rocks and roost in the cliffs of Luke Skywalker's secluded island, porgs are inquisitive creatures. They come two to a pack."
"1700691341-31","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Luke Skywalker Centerpiece","https://www.actionfigure411.com/star-wars/6-black-series/deluxe-sets/luke-skywalker-centerpiece-643.php","Star Wars 6"" Black Series Luke Skywalker Centerpiece","/star-wars/images/thumbs/luke-skywalker-centerpiece-643.jpg","C$32.49","Star Wars 6"" Black Series Luke Skywalker Centerpiece 
Reimagine key moments from the Star Wars universe with the Star Wars The Black Series Centerpiece collection! Each base features premium lights and sounds, and an iconic character captured in a moment in time like never before. Imagine Luke Skywalker thinking on his feet to take down the AT-AT in Star Wars: The Empire Strikes Back with this Star Wars The Black Series Centerpiece Luke Skywalker, featuring Luke Skywalker wielding his lightsaber as he charges back to the Rebel base on Hoth. With a premium base featuring lights and sounds that invites building out the iconic scene with more figures, vehicles, and accessories, Star Wars The Black Series Centerpiece Luke Skywalker truly serves as the centerpiece of any fan's treasured display."
"1700691344-32","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Darth Vader Centerpiece","https://www.actionfigure411.com/star-wars/6-black-series/deluxe-sets/darth-vader-centerpiece-644.php","Star Wars 6"" Black Series Darth Vader Centerpiece","/star-wars/images/thumbs/darth-vader-centerpiece-644.jpg","C$56.03","Star Wars 6"" Black Series Darth Vader Centerpiece 
Reimagine key moments from the Star Wars universe with the Star Wars The Black Series Centerpiece collection! Each base features premium lights and sounds, and an iconic character captured in a moment in time like never before. Imagine Darth Vader storming aboard the Tantive IV in Star Wars: A New Hope with this Star Wars The Black Series Centerpiece Darth Vader, featuring Darth Vader wielding his lightsaber among the ruin of the besieged Rebel ship. With a premium base featuring lights and sounds that invites building out the iconic scene with more figures, vehicles, and accessories, Star Wars The Black Series Centerpiece Darth Vader truly serves as the centerpiece of any fan's treasured display."
"1700691346-33","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Luke Skywalker & Wampa","https://www.actionfigure411.com/star-wars/6-black-series/deluxe-sets/luke-skywalker-wampa-66.php","Star Wars 6"" Black Series Luke Skywalker & Wampa","/star-wars/images/thumbs/luke-skywalker-wampa-66.jpg","C$113.43","Star Wars 6"" Black Series Luke Skywalker & Wampa 
While on patrol, Luke and his tauntaun are attacked by a vicious wampa. The creature hangs Luke upside down in its cave, but Luke uses the Force to escape."
"1700691348-34","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Han Solo and Tauntaun","https://www.actionfigure411.com/star-wars/6-black-series/deluxe-sets/han-solo-and-tauntaun-67.php","Star Wars 6"" Black Series Han Solo and Tauntaun","/star-wars/images/thumbs/han-solo-and-tauntaun-67.jpg","C$104.14","Star Wars 6"" Black Series Han Solo and Tauntaun 
When Han's tauntaun dies of exposure, he uses the beast's body to keep the badly wounded Luke Skywalker from freezing to death until the pair can be rescued."
"1700691350-35","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Jabba The Hutt","https://www.actionfigure411.com/star-wars/6-black-series/deluxe-sets/jabba-the-hutt-64.php","Star Wars 6"" Black Series Jabba The Hutt","/star-wars/images/thumbs/jabba-the-hutt-64.jpg","C$76.87","Star Wars 6"" Black Series Jabba The Hutt 
The Star Wars: Black Series 6-inch Jabba the Hutt figure features highly detailed sculpting and design to capture the look of this beloved Star Wars saga villain from the epic saga. Imagine Jabba the Hutt lying on his throne being entertained by dancers or gathering information from his spies. Move Jabba the Hutt's arm up and down to make his mouth open and close as if Jabba is gobbling food as he plots his next crime."
"1700691352-36","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Speeder Bike and Biker Scout","https://www.actionfigure411.com/star-wars/6-black-series/deluxe-sets/speeder-bike-and-biker-scout-62.php","Star Wars 6"" Black Series Speeder Bike and Biker Scout","/star-wars/images/thumbs/speeder-bike-and-biker-scout-62.jpg","C$81.38","Star Wars 6"" Black Series Speeder Bike and Biker Scout 
Chased by the Rebels, Biker Scouts race their Speeder Bikes through the Endor forest. The Biker Scouts weave at breakneck speed through the trees, trying to outrun the Rebels so they can warn the shield generator station of the enemy's presence."
"1700691354-37","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","KX Security Droid (Holiday)","https://www.actionfigure411.com/star-wars/6-black-series/holiday/kx-security-droid-holiday-7332.php","Star Wars 6"" Black Series KX Security Droid (Holiday)","/star-wars/images/thumbs/kx-security-droid-holiday-7332.jpg","C$43.99","Star Wars 6"" Black Series KX Security Droid (Holiday) 
This KX Security Droid (Holiday Edition) action figure features unique holiday-inspired deco, including armor in festive colors.



Includes 2 accessories, including a BD-1 figure,"
"1700691357-38","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Snowtrooper (Holiday)","https://www.actionfigure411.com/star-wars/6-black-series/holiday/snowtrooper-holiday-7236.php","Star Wars 6"" Black Series Snowtrooper (Holiday)","/star-wars/images/thumbs/snowtrooper-holiday-7236.jpg","C$55.02","Star Wars 6"" Black Series Snowtrooper (Holiday) 
Star Wars Black Series Snowtrooper Holiday Edition exclusive to Target.



Snowtrooper includes: Holiday themed blaster rifle, backpack and IT-O interrogation droid and stand."
"1700691359-39","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Purge Trooper (Holiday)","https://www.actionfigure411.com/star-wars/6-black-series/holiday/purge-trooper-holiday-7230.php","Star Wars 6"" Black Series Purge Trooper (Holiday)","/star-wars/images/thumbs/purge-trooper-holiday-7230.jpg","C$52.07","Star Wars 6"" Black Series Purge Trooper (Holiday) 
Star Wars The Black Series Purge Trooper (Holiday Edition) Entertainment Earth Exclusive. He'll crush the Trade Federation and crack the nuts!



Includes blaster rifle and mouse droid."
"1700691361-40","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Mandalorian Scout (Holiday)","https://www.actionfigure411.com/star-wars/6-black-series/holiday/mandalorian-scout-holiday-7226.php","Star Wars 6"" Black Series Mandalorian Scout (Holiday)","/star-wars/images/thumbs/mandalorian-scout-holiday-7226.jpg","C$59.40","Star Wars 6"" Black Series Mandalorian Scout (Holiday) 
Mandalorian Scout & Anzellan (Holiday Edition) collectible action figure features unique holiday-inspired deco, including the Mandalorian Scout’s armor in festive colors.



Mandalorian Scout action figure comes with 3 accessories, including a 6-inch-scale Anzellan figure."
"1700691365-41","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Ewok (Holiday)","https://www.actionfigure411.com/star-wars/6-black-series/holiday/ewok-holiday-7229.php","Star Wars 6"" Black Series Ewok (Holiday)","/star-wars/images/thumbs/ewok-holiday-7229.jpg","C$60.28","Star Wars 6"" Black Series Ewok (Holiday) 
Star Wars Black Series Ewok (Holiday Edition) action figure features unique holiday-inspired deco, including a cloak in festive colors.



Includes Holiday themed chest, staff and Porg accessories."
"1700691367-42","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Wookiee (Holiday)","https://www.actionfigure411.com/star-wars/6-black-series/holiday/wookiee-holiday-5063.php","Star Wars 6"" Black Series Wookiee (Holiday)","/star-wars/images/thumbs/wookiee-holiday-5063.jpg","C$37.12","Star Wars 6"" Black Series Wookiee (Holiday) 
Star Wars Black Series White Wookie Holiday Edition. Celebrate the season with specially designed Star Wars figures from The Black Series. Shaggy giants like Chewbacca come from an arboreal world, the tall and commanding Wookiee species is an impressive sight to even the most jaded spacer.



Includes 2 figures and 1 entertainment-inspired accessory. Available at GameStop on 11/1/2022"
"1700691369-43","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Wookiee (Halloween Edition)","https://www.actionfigure411.com/star-wars/6-black-series/holiday/wookiee-halloween-edition-5235.php","Star Wars 6"" Black Series Wookiee (Halloween Edition)","/star-wars/images/thumbs/wookiee-halloween-edition-5235.jpg","C$31.83","Star Wars 6"" Black Series Wookiee (Halloween Edition) 
Wookiee, Halloween Edition figure. Celebrate the Halloween season with this specially designed STAR WARS: THE BLACK SERIES figure, features Halloween-themed deco and packaging, as well as multiple points of articulation. This THE BLACK SERIES Halloween figure comes with an included Bogling toy with werewolf-inspired deco as well as with 1 Halloween-inspired accessory, a candy bucket filled with beskar wrapped up to look like chocolate bars."
"1700691372-44","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Scout Trooper (Holiday)","https://www.actionfigure411.com/star-wars/6-black-series/holiday/scout-trooper-holiday-5064.php","Star Wars 6"" Black Series Scout Trooper (Holiday)","/star-wars/images/thumbs/scout-trooper-holiday-5064.jpg","C$27.87","Star Wars 6"" Black Series Scout Trooper (Holiday) 
Star Wars Black Series Scout Trooper & Grogu Holiday Edition. Celebrate the season with specially designed Star Wars figures from The Black Series. Scout Troopers were lightly armored compared with other stormtroopers, which allowed them to move more quickly and easily in a range of environments. 


Includes Grogu in holiday-themed bag toy and blaster accessory. Available at Walmart starting on 11/1/2022"
"1700691374-45","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Protocol Droid (Holiday Edition)","https://www.actionfigure411.com/star-wars/6-black-series/holiday/protocol-droid-holiday-edition-5244.php","Star Wars 6"" Black Series Protocol Droid (Holiday Edition)","/star-wars/images/thumbs/protocol-droid-holiday-edition-5244.jpg","C$31.93","Star Wars 6"" Black Series Protocol Droid (Holiday Edition) 
Protocol droids like C-3PO are vital in smoothing differences encountered by the many farflung cultures interacting on a regular basis throughout the galaxy. Most are humanoid, like the company they keep. 


Includes BD droid toy and holiday scarf. Available at Entertainment Earth and BigBadToyStore starting on 11/1/2022."
"1700691376-46","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Mandalorian Warrior (Holiday)","https://www.actionfigure411.com/star-wars/6-black-series/holiday/mandalorian-warrior-holiday-5065.php","Star Wars 6"" Black Series Mandalorian Warrior (Holiday)","/star-wars/images/thumbs/mandalorian-warrior-holiday-5065.jpg","C$36.83","Star Wars 6"" Black Series Mandalorian Warrior (Holiday) 
Star Wars Black Series Mandalorian Warrior Holiday Edition. Celebrate the season with specially designed Star Wars figures from The Black Series. The warrior clans of Mandalore were believed to have been wiped out ages ago, but their ways were resurrected, and with them, their legendary combat armor that was feared across the galaxy. 


Includes bogling toy and Amban blaster accessory. Available at Target starting on 11/16/2022"
"1700691378-47","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","First Order Stormtrooper (Holiday)","https://www.actionfigure411.com/star-wars/6-black-series/holiday/first-order-stormtrooper-holiday-5066.php","Star Wars 6"" Black Series First Order Stormtrooper (Holiday)","/star-wars/images/thumbs/first-order-stormtrooper-holiday-5066.jpg","C$43.62","Star Wars 6"" Black Series First Order Stormtrooper (Holiday) 
Star Wars Black Series First Order Stormtrooper Holiday Edition. Celebrate the season with specially designed Star Wars figures from The Black Series. Members of this new generation of stormtroopers are trained from birth, growing up with unit designations instead of names and fed a steady diet of First Order propaganda to ensure loyalty.



Includes mouse droid toy and blaster accessory. Available for pre-order on Amazon 10/25/2022 at 1PM ET."
"1700691380-48","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Phase II Clone Trooper (Holiday)","https://www.actionfigure411.com/star-wars/6-black-series/holiday/phase-ii-clone-trooper-holiday-5243.php","Star Wars 6"" Black Series Phase II Clone Trooper (Holiday)","/star-wars/images/thumbs/phase-ii-clone-trooper-holiday-5243.jpg","C$42.92","Star Wars 6"" Black Series Phase II Clone Trooper (Holiday) 
Clone Troopers were so symbolic of the times, the galaxy-wide conflict that saw their debut took its name from their ranks: The Clone Wars.



Includes Porg toy. Available at Hasbro Pulse and Shop Disney starting on 11/1/2022."
"1700691382-49","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Clone Trooper (Halloween Edition)","https://www.actionfigure411.com/star-wars/6-black-series/holiday/clone-trooper-halloween-edition-5234.php","Star Wars 6"" Black Series Clone Trooper (Halloween Edition)","/star-wars/images/thumbs/clone-trooper-halloween-edition-5234.jpg","C$61.81","Star Wars 6"" Black Series Clone Trooper (Halloween Edition) 
Halloween-themed deco and packaging, as well as multiple points of articulation. This THE BLACK SERIES Halloween figure comes with an included Porg toy with vampire-inspired deco as well as with 1 Halloween-inspired accessory, a chest decorated with a Jabba the Hut-inspired ghost and filled with beskar wrapped up to look like chocolate bars. Will be available for preorder this Fall exclusively at Target."
"1700691385-50","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Stormtrooper and Porg (Holiday)","https://www.actionfigure411.com/star-wars/6-black-series/holiday/stormtrooper-and-porg-holiday-1542.php","Star Wars 6"" Black Series Stormtrooper and Porg (Holiday)","/star-wars/images/thumbs/stormtrooper-and-porg-holiday-1542.jpg","C$67.28","Star Wars 6"" Black Series Stormtrooper and Porg (Holiday) 
HOLIDAY-THEMED STAR WARS CHARACTERS: Celebrate the season with specially designed Star Wars figures from The Black Series, featuring holiday-themed deco and packaging."
"1700691387-51","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Snowtrooper and Porg (Holiday)","https://www.actionfigure411.com/star-wars/6-black-series/holiday/snowtrooper-and-porg-holiday-1541.php","Star Wars 6"" Black Series Snowtrooper and Porg (Holiday)","/star-wars/images/thumbs/snowtrooper-and-porg-holiday-1541.jpg","C$43.86","Star Wars 6"" Black Series Snowtrooper and Porg (Holiday) 
Snowtroopers are troopers trained for operations in arctic conditions and equipped with specialized gear to protect them against the cold. Includes porg and bladed staff."
"1700691389-52","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Sith Trooper (Holiday)","https://www.actionfigure411.com/star-wars/6-black-series/holiday/sith-trooper-holiday-1549.php","Star Wars 6"" Black Series Sith Trooper (Holiday)","/star-wars/images/thumbs/sith-trooper-holiday-1549.jpg","C$47.18","Star Wars 6"" Black Series Sith Trooper (Holiday) 
In its ultimate push toward galactic conquest, the First Order readies an army of elite soldiers that draw inspiration from a dark and ancient legacy. Includes Holiday themed Babu Frik."
"1700691391-53","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Range Trooper (Holiday)","https://www.actionfigure411.com/star-wars/6-black-series/holiday/range-trooper-holiday-1562.php","Star Wars 6"" Black Series Range Trooper (Holiday)","/star-wars/images/thumbs/range-trooper-holiday-1562.jpg","C$56.44","Star Wars 6"" Black Series Range Trooper (Holiday) 
These proud troops are assigned to Imperial frontier worlds, where they rely on training, toughness, and specialized equipment to expand Imperial rule. Comes with an included D-O figure. Exclusive to Target DPCI: 087-16-2267"
"1700691393-54","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Clone Trooper (Holiday)","https://www.actionfigure411.com/star-wars/6-black-series/holiday/clone-trooper-holiday-1563.php","Star Wars 6"" Black Series Clone Trooper (Holiday)","/star-wars/images/thumbs/clone-trooper-holiday-1563.jpg","C$34.16","Star Wars 6"" Black Series Clone Trooper (Holiday) 
Clone Troopers were so symbolic of the times, the galaxy-wide conflict that saw their debut took its name from their ranks: The Clone Wars. Includes Holiday themed Porg. Exclusive to Gamestop"
"1700691396-55","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Stormtrooper Commander (Force Unleashed)","https://www.actionfigure411.com/star-wars/6-black-series/gaming-greats/stormtrooper-commander-force-unleashed-1408.php","Star Wars 6"" Black Series Stormtrooper Commander (Force Unleashed)","/star-wars/images/thumbs/stormtrooper-commander-force-unleashed-1408.jpg","C$24.75","Star Wars 6"" Black Series Stormtrooper Commander (Force Unleashed) 
STAR WARS: THE FORCE UNLEASHED STORMTROOPER COMMANDER: The Star Wars: The Force Unleashed video game follows Darth Vader's secret apprentice, trained to hunt down and destroy Jedi, while Stormtrooper Commanders lead Imperial troops into battle. GAMESTOP EXCLUSIVE: This Star Wars The Black Series Gaming Greats Stormtrooper Commander toy is available exclusively through GameStop"
"1700691398-56","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Shadow Stormtrooper (Force Unleashed)","https://www.actionfigure411.com/star-wars/6-black-series/gaming-greats/shadow-stormtrooper-force-unleashed-1438.php","Star Wars 6"" Black Series Shadow Stormtrooper (Force Unleashed)","/star-wars/images/thumbs/shadow-stormtrooper-force-unleashed-1438.jpg","C$33.67","Star Wars 6"" Black Series Shadow Stormtrooper (Force Unleashed) 
Shadow Stormtroopers utilize cloaking devices to ambush their enemies in the Star Wars: The Force Unleashed video game. The Star Wars: The Force Unleashed video game follows Darth Vader’s secret apprentice, trained to hunt down and destroy Jedi, while Shadow Stormtroopers use cloaking devices to ambush enemies"
